subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s001,1,1,0.0857,0.2163,0.1306,0.0794,0.1879,0.1085,0.0989,0.2643,0.1654,0.0872,0.1567,0.0695,0.1112,0.305,0.1938,0.1297,0.3102,0.1805,0.0775,0.1763,0.0988,0.0782,0.1655,0.0873,0.1058,0.2454,0.1396,0.104,0.2858,0.1818,0.1278
s001,1,2,0.1003,0.2124,0.1121,0.0847,0.1761,0.0914,0.1029,0.2486,0.1457,0.0804,0.1759,0.0955,0.1213,0.3243,0.203,0.1339,0.3025,0.1686,0.1014,0.1942,0.0928,0.0871,0.1731,0.086,0.0818,0.2002,0.1184,0.11,0.2907,0.1807,0.1281
s001,1,3,0.0807,0.1971,0.1164,0.0876,0.1588,0.0712,0.1043,0.235,0.1307,0.0773,0.1767,0.0994,0.123,0.3465,0.2235,0.1337,0.3162,0.1825,0.0808,0.1815,0.1007,0.0999,0.1978,0.0979,0.0887,0.2185,0.1298,0.1125,0.2713,0.1588,0.1086
s001,1,4,0.1026,0.213,0.1104,0.0944,0.1815,0.0871,0.1054,0.2351,0.1297,0.0852,0.1775,0.0923,0.0971,0.2882,0.1911,0.1394,0.3117,0.1723,0.0976,0.2318,0.1342,0.0999,0.1701,0.0702,0.0853,0.2303,0.145,0.1072,0.2494,0.1422,0.1343
s001,1,5,0.0809,0.2247,0.1438,0.0833,0.1522,0.0689,0.1078,0.2587,0.1509,0.0853,0.1411,0.0558,0.1063,0.3055,0.1992,0.1175,0.2991,0.1816,0.0923,0.1989,0.1066,0.081,0.1668,0.0858,0.0819,0.2173,0.1354,0.1121,0.291,0.1789,0.1255
s001,1,6,0.1032,0.205,0.1018,0.0858,0.1641,0.0783,0.117,0.266,0.149,0.0829,0.148,0.0651,0.1118,0.2946,0.1828,0.1401,0.3205,0.1804,0.1019,0.2146,0.1127,0.0907,0.1894,0.0987,0.1043,0.228,0.1237,0.1024,0.2596,0.1572,0.1307
s001,1,7,0.1087,0.208,0.0993,0.0822,0.1668,0.0846,0.0907,0.2201,0.1294,0.0736,0.1609,0.0873,0.1241,0.3291,0.205,0.1157,0.2965,0.1808,0.0762,0.2043,0.1281,0.0781,0.1715,0.0934,0.1038,0.2548,0.151,0.095,0.2582,0.1632,0.1152
s001,1,8,0.1081,0.2158,0.1077,0.1023,0.168,0.0657,0.0998,0.2335,0.1337,0.073,0.158,0.085,0.1047,0.3238,0.2191,0.1439,0.3284,0.1845,0.0816,0.2055,0.1239,0.0849,0.2048,0.1199,0.1052,0.247,0.1418,0.0954,0.2626,0.1672,0.133
s001,1,9,0.1074,0.2496,0.1422,0.0771,0.1704,0.0933,0.0939,0.2438,0.1499,0.0808,0.1633,0.0825,0.1095,0.2931,0.1836,0.1233,0.2903,0.167,0.1048,0.2063,0.1015,0.094,0.2122,0.1182,0.0991,0.2158,0.1167,0.0956,0.242,0.1464,0.1209
s001,1,10,0.0943,0.2347,0.1404,0.0756,0.1668,0.0912,0.1077,0.2628,0.1551,0.0743,0.1516,0.0773,0.0997,0.3173,0.2176,0.1401,0.3245,0.1844,0.0822,0.1899,0.1077,0.0882,0.1861,0.0979,0.1076,0.244,0.1364,0.0864,0.2442,0.1578,0.1189
s001,1,11,0.0843,0.1831,0.0988,0.0806,0.1708,0.0902,0.0968,0.2251,0.1283,0.0866,0.1597,0.0731,0.113,0.3158,0.2028,0.1273,0.2832,0.1559,0.0915,0.2142,0.1227,0.0812,0.16,0.0788,0.0815,0.1867,0.1052,0.0971,0.2685,0.1714,0.1331
s001,1,12,0.1063,0.2184,0.1121,0.1013,0.201,0.0997,0.1138,0.2707,0.1569,0.0815,0.1434,0.0619,0.1214,0.2967,0.1753,0.1162,0.301,0.1848,0.0999,0.1876,0.0877,0.0976,0.1923,0.0947,0.0863,0.2029,0.1166,0.1087,0.2728,0.1641,0.1278
